Change component parameters: Designator = "U1" ("U1"); Footprint = "PLCC-44"; UniqueID = "\ggea79149bc5769670a" ("ggea79149bc5769670a")
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "TL16C550CFN"; VariantName = "[No Variations]"
Change component parameters: Designator = "U2" ("U2"); Footprint = "DIP20"; UniqueID = "\gge59b29510b1ff31af" ("gge59b29510b1ff31af")
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "SN74LS688N"; VariantName = "[No Variations]"
Change component parameters: Designator = "SW1" ("SW1"); Footprint = "SW-TH_SK-12D02VG3"; UniqueID = "\gge0b3d31aa8eb4c235" ("gge0b3d31aa8eb4c235")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "Rectangular Connectors - Contacts"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "SK-12D02-VG5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C136722"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "SK-12D02-VG5"; VariantName = "[No Variations]"
Change component parameters: Designator = "X2" ("X2"); Footprint = "HDR-M-2.54_1X4"; UniqueID = "\ggeb794c54fb8d6b9e0" ("ggeb794c54fb8d6b9e0")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C124378"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCEDA_Lib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "J"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "HDR-M-2.54_1x4"; VariantName = "[No Variations]"
Change component parameters: Designator = "X3" ("X3"); Footprint = "HDR-M-2.54_2X5"; UniqueID = "\gge14eff358ff9049c2" ("gge14eff358ff9049c2")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C178292"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCEDA_Lib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "J"; VariantName = "[No Variations]"
